Commodity_Group ,Commodity_Name ,Measure_Names,Mode ,Port_Border,Port_Coast,Port_District,Port_Name,Port_State  ,Select_Date,Trade_Type,Year_of_Trade,No.,Measure_Values,Partner
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Buffalo Customs District ,All,All,January,Import,2019,80,603882,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Charleston Customs District ,All,All,January,Import,2019,81,26644496,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Charleston Customs District ,All,All,January,Import,2019,81,56845675,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Charlotte Customs District ,All,All,January,Import,2019,82,36369310,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Charlotte Customs District ,All,All,January,Import,2019,82,8353645,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Chicago Customs District ,All,All,January,Import,2019,83,6300505585,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Chicago Customs District ,All,All,January,Import,2019,83,1216740342,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Cleveland Customs District ,All,All,January,Import,2019,84,3042474,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Cleveland Customs District ,All,All,January,Import,2019,84,7349060,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Cleveland Customs District ,All,All,January,Import,2019,85,263327899,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Cleveland Customs District ,All,All,January,Import,2019,85,272463019,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Cleveland Ohio Customs District ,All,All,January,Import,2019,86,14498243,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Cleveland Ohio Customs District ,All,All,January,Import,2019,86,195317286,All Partners (Canada and Mexico)
