Customer City,Customer Name
BERKELEY,"LYGOS, INC"
BERKELEY,PERFECT DAY FOODS
BERKELEY,PLEXXIKON INC
BERKELEY,QUINTARA BIOSCIENCIES
BERKELEY,STATE OF CA ENV HEALTH LAB
BERKELEY,TAKARA SAKE USA INC
BERKELEY,UNIV. OF CALIFORNIA BERKELEY
BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
BERKELEY HEIGHTS,CHEMETALL OAKITE PRODUCTS INC
BERKELEY SPRINGS,US SILICA COMPANY
BERRIEN SPRINGS,ANDREWS UNIVERSITY
BETHEL,ADAMANTINE LLC
BETHEL,WELLOME SCIENCES
BETHESDA,NATIONAL INSTITUTES OF HEALTH
BETHESDA,NAVAL SURFACE WARFARE CENTER
BETHLEHEM,"FEDCHEM, LLC"
BETHLEHEM,LEHIGH UNIVERSITY
BETHLEHEM,ORASURE TECHNOLOGIES INC
BETHLEHEM,PARTICLE SCIENCES INC
BETHLEHEM,PIRAMAL CRITICAL CARE INC
BETHLEHEM,PURITAN PRODUCTS INC
BETHLEHEM,SPECIALTY MINERALS INC
BEVERLY,NORTH SHORE INNOVENTURES
BEVERLY,QIAGEN SCIENCES INC
BIDDEFORD,UNIVERSITY OF NEW ENGLAND
BIG BEAR CITY,BIG BEAR REGIONAL WASTEWATER AGENCY
BIG RAPIDS,AMG OPERATIONS LLC
BILLERICA,BRUKER DALTONICS INC.
BILLERICA,E INK CORPORATION (HQ)
BILLERICA,EPOXY TECHNOLOGY
BILLERICA,MILLIPORE CORPORATION
BILLERICA,MYKROLIS CORPORATION
BILLINGS,ALL AMERICAN PHARMACEUTICAL
BINGHAMTON,BINGHAMTON UNIVERSITY - SUNY
BIRMINGHAM,ALABAMA POWER COMPANY
BIRMINGHAM,BIRMINGHAM WATER WORKS
BIRMINGHAM,CMC STEEL INC
BIRMINGHAM,MISSISSIPPI POWER COMPANY
BIRMINGHAM,NATIONAL CEMENT CO OF ALABAMA
BIRMINGHAM,OXFORD PHARMACEUTICALS LLC
BIRMINGHAM,SAMFORD UNIVERSITY
BIRMINGHAM,SOUTHERN RESEARCH INSTITUTE
BIRMINGHAM,"TWIN PINES MINERALS, LLC"
BIRMINGHAM,UAB MEDICAL CENTER
BIRMINGHAM,UNIVERSITY OF ALABAMA
BIRMINGHAM,UNIVERSITY OF ALABAMA - BIRMINGHAM
BIRMINGHAM,WATER SCIENCE TECHNOLOGIES
BISMARCK,NORTH DAKOTA DEPARTMENT OF HEALTH
BISMARCK,STATE OF NORTH DAKOTA
BLACKBURN,PRECISION POLYMER ENGINEERING LTD
BLACKSBURG,MOOG COMPONENTS GROUP INC
BLACKSBURG,TECHLAB INC
BLACKSBURG,VIRGINIA POLYTECH INST & STATE UNIV
BLAINE,AVEDA CORP
BLANCHESTER,AMERICAN SHOWA INC
BLAUVELT,TRI-SEAL
BLOOMFIELD,MUNZING
BLOOMFIELD HILLS,"HUNTINGTON TECHNOLOGY FINANCE, INC"
BLOOMINGDALE,NOW FOODS
BLOOMINGTON,BAXTER PHARMACEUTICAL SOLUTIONS
BLOOMINGTON,"CATALENT INDIANA, LLC"
BLOOMINGTON,CONSOLIDATED PRECISION PRODUCTS
BLOOMINGTON,COOK POLYMER TECHNOLOGY
BLOOMINGTON,ILLINOIS WESLEYAN UNIVERSITY
BLOOMINGTON,INDIANA UNIVERSITY
BLOOMINGTON,KATUN CORPORATION
BLOOMINGTON,KP PHARMACEUTICAL TECHNOLOGY INC
BLOOMINGTON,SEAGATE TECHNOLOGY LLC
BLOOMSBURG,BLOOMSBURG UNIVERSITY
BLOOMSBURG,SEKISUI POLYMER INNOVATIONS LLC
BLOSSBURG,HYDRO RECOVERY LP
BLOSSBURG,WARD MANUFACTURING LLC
BLUE ASH,ADVANCED TESTING LABORATORY INC
BLUE BELL,CERTAINTEED CORPORATION
BLUE BELL,JOULE A SYSTEM ONE DIVISION
BLUE BELL,QUANTUS INC
BLUE ISLAND,CHICAGO MAGNESIUM CASTING COMPANY
BLUFFTON,GREEN PLAINS BLUFFTON LLC
BLUFFTON,SUMIRIKO OHIO INC
BOCA RATON,ADMA BIOMANUFACTURING LLC
BOCA RATON,AKRON BIOTECHNOLOGY
BOCA RATON,BIOTEST PHARMACEUTICALS CORP
BOCA RATON,PHYSICIANS LAB
BOCA RATON,QUALITY SYSTEMS LAB
BOGOTA,METRO LABOR COMPANIA LTDA
BOILING SPRINGS,GARDNER WEBB UNIVERSITY
BOISE,"ANALYTICAL LABS, INC"
BOISE,BOISE STATE UNIVERSITY
BOISE,CITY OF BOISE PUBLIC WORKS
BOISE,JR SIMPLOT COMPANY
BOISE,MICRON TECHNOLOGY INC
BOISE,STATE OF IDAHO
BOISE,US ECOLOGY INC (HQ)
BOLINGBROOK,EPIR TECHNOLOGIES INC
BOONE,APPALACHIAN STATE UNIVERSITY
BOONTON,ENTERIS BIOPHARMA INC
BOOTHWYN,QUOTIENT SCIENCES PHILADELPHIA LLC
BORON,BORAX-BORON
BOSTON,908 DEVICES INC.
BOSTON,ADVANCED PROTEOME THERAPEUTICS
BOSTON,ADVANSIX INC
BOSTON,BETH ISRAEL DEACONESS MEDICAL CTR
BOSTON,BOSTON CHILDREN'S HOSPITAL
BOSTON,BOSTON MEDICAL CENTER
BOSTON,BOSTON UNIVERSITY
BOSTON,BRIGHAM & WOMENS HOSPITAL
BOSTON,CABOT CORPORATION
BOSTON,CHILDREN'S HOSPITAL
BOSTON,CITY OF BOSTON
BOSTON,COMMONWEALTH OF MASSACHUSETTS
BOSTON,DANA FARBER CANCER INSTITUTE
BOSTON,"DECIBEL THERAPEUTICS, INC."
BOSTON,EMMANUEL COLLEGE
BOSTON,FOG PHARMA
BOSTON,GILLETTE COMPANY
BOSTON,GINKGO BIOWORKS INC
BOSTON,HARVARD MEDICAL SCHOOL
BOSTON,HARVARD SCHOOL OF PUBLIC HEALTH
BOSTON,INTARCIA THERAPEUTICS INC
BOSTON,MASSACHUSETTS EYE/EAR INFIRMRY
BOSTON,MATRIVAX RESEARCH & DEVELOPMENT COR
BOSTON,NORTHEASTERN UNIVERSITY
BOSTON,RA PHARMACEUTICALS INC
BOSTON,SAPPI FINE PAPER NORTH AMERICA
BOSTON,SCHEPENS EYE RESEARCH INST
BOSTON,SILICON INSITE INC
BOSTON,TUFTS MEDICAL SCHOOL
BOSTON,UNIVERSITY OF MASSACHUSETTS
BOSTON,UNIVERSITY OF MASSACHUSETTS-BOSTON
BOSTON,VEOLIA NORTH AMERICA  (HQ)
BOSTON,VERTEX PHARMACEUTICAL
BOTHELL,AGC BIOLOGICS
BOTHELL,ALDER BIOPHARMACEUTICALS
BOTHELL,BIOLIFE SOLUTIONS INC
BOTHELL,ELITECHGROUP INC
BOTHELL,ONDINE RESEARCH LABORATORIES INC
BOTHELL,PHILIPS ULTRASOUND INC
